Area,Year,Population,Violent crime,Violent crime rate per 100k,"Murder and 
nonnegligent 
manslaughter","Murder and 
nonnegligent 
manslaughter rate per 100k",Rape,Rape rate per 100k,Robbery,Robbery rate per 100k,Aggravated assault,Aggravated assault rate per 100k,Property crime,Property crime rate per 100k,Burglary,Burglary rate per 100k,Larceny-theft,Larceny-theft rate per 100k,Motor vehicle theft,Motor vehicle theft rate per 100k
Kansas,2016,"2,907,289"," 	11,060 ",380.4 , 	111 ,3.8 ," 	1,312 ",45.1 ," 	1,671 ",57.5 ," 	7,966 ",274.0 ," 	78,367 ","2,695.5 "," 	14,364 ",494.1 ," 	57,066 ","1,962.9 "," 	6,937 ",238.6 
Minnesota,2016,"5,519,952"," 	13,394 ",242.6 , 	101 ,1.8 ," 	2,348 ",42.5 ," 	3,728 ",67.5 ," 	7,217 ",130.7 ," 	117,756 ","2,133.3 "," 	18,606 ",337.1 ," 	90,422 ","1,638.1 "," 	8,728 ",158.1 
Missouri,2016,"6,093,000"," 	31,644 ",519.4 , 	537 ,8.8 ," 	2,554 ",41.9 ," 	6,570 ",107.8 ," 	21,983 ",360.8 ," 	170,549 ","2,799.1 "," 	31,710 ",520.4 ," 	120,544 ","1,978.4 "," 	18,295 ",300.3 
Nebraska,2016,"1,907,116"," 	5,550 ",291.0 , 	49 ,2.6 , 	994 ,52.1 , 	946 ,49.6 ," 	3,561 ",186.7 ," 	43,163 ","2,263.3 "," 	6,444 ",337.9 ," 	31,994 ","1,677.6 "," 	4,725 ",247.8 
North Dakota,2016,"757,952"," 	1,903 ",251.1 , 	15 ,2.0 , 	342 ,45.1 , 	181 ,23.9 ," 	1,365 ",180.1 ," 	17,402 ","2,295.9 "," 	3,243 ",427.9 ," 	12,195 ","1,608.9 "," 	1,964 ",259.1 
South Dakota,2016,"865,454"," 	3,621 ",418.4 , 	27 ,3.1 , 	509 ,58.8 , 	272 ,31.4 ," 	2,813 ",325.0 ," 	17,141 ","1,980.6 "," 	3,000 ",346.6 ," 	12,639 ","1,460.4 "," 	1,502 ",173.6 
South,2016,"122,319,574"," 	526,999 ",430.8 ," 	7,961 ",6.5 ," 	49,246 ",40.3 ," 	128,842 ",105.3 ," 	340,950 ",278.7 ," 	3,343,799 ","2,733.7 "," 	684,968 ",560.0 ," 	2,391,288 ","1,955.0 "," 	267,543 ",218.7 
South Atlantic,2016,"63,923,309"," 	258,672 ",404.7 ," 	4,077 ",6.4 ," 	22,333 ",34.9 ," 	66,402 ",103.9 ," 	165,860 ",259.5 ," 	1,692,669 ","2,648.0 "," 	330,122 ",516.4 ," 	1,234,761 ","1,931.6 "," 	127,786 ",199.9 
Delaware,2016,"952,065"," 	4,844 ",508.8 , 	56 ,5.9 , 	308 ,32.4 ," 	1,359 ",142.7 ," 	3,121 ",327.8 ," 	26,334 ","2,766.0 "," 	5,023 ",527.6 ," 	19,791 ","2,078.7 "," 	1,520 ",159.7 
District of Columbia,2016,"681,170"," 	8,214 ","1,205.9 ", 	139 ,20.4 , 	532 ,78.1 ," 	3,480 ",510.9 ," 	4,063 ",596.5 ," 	32,716 ","4,802.9 "," 	2,361 ",346.6 ," 	27,382 ","4,019.8 "," 	2,973 ",436.5 
Florida,2016,"20,612,439"," 	88,700 ",430.3 ," 	1,111 ",5.4 ," 	7,598 ",36.9 ," 	20,175 ",97.9 ," 	59,816 ",290.2 ," 	553,812 ","2,686.8 "," 	100,325 ",486.7 ," 	410,352 ","1,990.8 "," 	43,135 ",209.3 
Georgia,2016,"10,310,371"," 	40,990 ",397.6 , 	681 ,6.6 ," 	3,509 ",34.0 ," 	12,205 ",118.4 ," 	24,595 ",238.5 ," 	309,770 ","3,004.5 "," 	63,344 ",614.4 ," 	219,625 ","2,130.1 "," 	26,801 ",259.9 
Maryland,2016,"6,016,447"," 	28,400 ",472.0 , 	481 ,8.0 ," 	1,756 ",29.2 ," 	10,289 ",171.0 ," 	15,874 ",263.8 ," 	137,445 ","2,284.5 "," 	24,692 ",410.4 ," 	100,919 ","1,677.4 "," 	11,834 ",196.7 
North Carolina,2016,"10,146,788"," 	37,769 ",372.2 , 	678 ,6.7 ," 	2,849 ",28.1 ," 	9,336 ",92.0 ," 	24,906 ",245.5 ," 	277,765 ","2,737.5 "," 	72,082 ",710.4 ," 	190,377 ","1,876.2 "," 	15,306 ",150.8 
South Carolina,2016,"4,961,119"," 	24,896 ",501.8 , 	366 ,7.4 ," 	2,387 ",48.1 ," 	4,035 ",81.3 ," 	18,108 ",365.0 ," 	160,928 ","3,243.8 "," 	32,976 ",664.7 ," 	114,032 ","2,298.5 "," 	13,920 ",280.6 
Virginia,2016,"8,411,808"," 	18,302 ",217.6 , 	484 ,5.8 ," 	2,737 ",32.5 ," 	4,803 ",57.1 ," 	10,278 ",122.2 ," 	156,412 ","1,859.4 "," 	20,018 ",238.0 ," 	126,606 ","1,505.1 "," 	9,788 ",116.4 
West Virginia,2016,"1,831,102"," 	6,557 ",358.1 , 	81 ,4.4 , 	657 ,35.9 , 	720 ,39.3 ," 	5,099 ",278.5 ," 	37,487 ","2,047.2 "," 	9,301 ",507.9 ," 	25,677 ","1,402.3 "," 	2,509 ",137.0 
East South Central,2016,"18,940,194"," 	86,674 ",457.6 ," 	1,391 ",7.3 ," 	7,548 ",39.9 ," 	18,265 ",96.4 ," 	59,470 ",314.0 ," 	513,087 ","2,709.0 "," 	118,565 ",626.0 ," 	353,470 ","1,866.2 "," 	41,052 ",216.7 
Alabama,2016,"4,863,300"," 	25,886 ",532.3 , 	407 ,8.4 ," 	1,916 ",39.4 ," 	4,686 ",96.4 ," 	18,877 ",388.2 ," 	143,362 ","2,947.8 "," 	34,065 ",700.5 ," 	97,574 ","2,006.3 "," 	11,723 ",241.1 
Kentucky,2016,"4,436,974"," 	10,308 ",232.3 , 	260 ,5.9 ," 	1,641 ",37.0 ," 	3,369 ",75.9 ," 	5,038 ",113.5 ," 	97,158 ","2,189.7 "," 	20,834 ",469.6 ," 	66,438 ","1,497.4 "," 	9,886 ",222.8 
Mississippi,2016,"2,988,726"," 	8,383 ",280.5 , 	238 ,8.0 ," 	1,277 ",42.7 ," 	2,397 ",80.2 ," 	4,471 ",149.6 ," 	82,732 ","2,768.1 "," 	23,354 ",781.4 ," 	55,054 ","1,842.1 "," 	4,324 ",144.7 
Tennessee,2016,"6,651,194"," 	42,097 ",632.9 , 	486 ,7.3 ," 	2,714 ",40.8 ," 	7,813 ",117.5 ," 	31,084 ",467.3 ," 	189,835 ","2,854.1 "," 	40,312 ",606.1 ," 	134,404 ","2,020.7 "," 	15,119 ",227.3 
West South Central,2016,"39,456,071"," 	181,653 ",460.4 ," 	2,493 ",6.3 ," 	19,365 ",49.1 ," 	44,175 ",112.0 ," 	115,620 ",293.0 ," 	1,138,043 ","2,884.3 "," 	236,281 ",598.8 ," 	803,057 ","2,035.3 "," 	98,705 ",250.2 
Arkansas,2016,"2,988,248"," 	16,461 ",550.9 , 	216 ,7.2 ," 	2,143 ",71.7 ," 	2,120 ",70.9 ," 	11,982 ",401.0 ," 	97,673 ","3,268.6 "," 	23,771 ",795.5 ," 	66,747 ","2,233.6 "," 	7,155 ",239.4 
Louisiana,2016,"4,681,666"," 	26,502 ",566.1 , 	554 ,11.8 ," 	1,816 ",38.8 ," 	5,576 ",119.1 ," 	18,556 ",396.4 ," 	154,386 ","3,297.7 "," 	34,667 ",740.5 ," 	109,380 ","2,336.3 "," 	10,339 ",220.8 
Oklahoma,2016,"3,923,561"," 	17,648 ",449.8 , 	245 ,6.2 ," 	2,039 ",52.0 ," 	3,162 ",80.6 ," 	12,202 ",311.0 ," 	117,037 ","2,982.9 "," 	29,103 ",741.7 ," 	75,779 ","1,931.4 "," 	12,155 ",309.8 
Texas,2016,"27,862,596"," 	121,042 ",434.4 ," 	1,478 ",5.3 ," 	13,367 ",48.0 ," 	33,317 ",119.6 ," 	72,880 ",261.6 ," 	768,947 ","2,759.8 "," 	148,740 ",533.8 ," 	551,151 ","1,978.1 "," 	69,056 ",247.8 
West,2016,"76,657,000"," 	320,706 ",418.4 ," 	3,449 ",4.5 ," 	33,298 ",43.4 ," 	86,301 ",112.6 ," 	197,658 ",257.8 ," 	2,120,808 ","2,766.6 "," 	387,049 ",504.9 ," 	1,424,850 ","1,858.7 "," 	308,909 ",403.0 
Mountain,2016,"23,855,067"," 	102,674 ",430.4 ," 	1,124 ",4.7 ," 	13,126 ",55.0 ," 	21,739 ",91.1 ," 	66,685 ",279.5 ," 	675,111 ","2,830.1 "," 	122,629 ",514.1 ," 	474,519 ","1,989.2 "," 	77,963 ",326.8 
Arizona,2016,"6,931,071"," 	32,583 ",470.1 , 	380 ,5.5 ," 	3,290 ",47.5 ," 	7,055 ",101.8 ," 	21,858 ",315.4 ," 	206,432 ","2,978.4 "," 	37,736 ",544.4 ," 	150,275 ","2,168.1 "," 	18,421 ",265.8 
Colorado,2016,"5,540,545"," 	18,983 ",342.6 , 	204 ,3.7 ," 	3,555 ",64.2 ," 	3,528 ",63.7 ," 	11,696 ",211.1 ," 	151,850 ","2,740.7 "," 	23,903 ",431.4 ," 	108,336 ","1,955.3 "," 	19,611 ",354.0 
Idaho,2016,"1,683,140"," 	3,876 ",230.3 , 	49 ,2.9 , 	719 ,42.7 , 	213 ,12.7 ," 	2,895 ",172.0 ," 	29,357 ","1,744.2 "," 	6,318 ",375.4 ," 	20,962 ","1,245.4 "," 	2,077 ",123.4 
Montana,2016,"1,042,520"," 	3,840 ",368.3 , 	36 ,3.5 , 	578 ,55.4 , 	266 ,25.5 ," 	2,960 ",283.9 ," 	27,976 ","2,683.5 "," 	3,934 ",377.4 ," 	21,299 ","2,043.0 "," 	2,743 ",263.1 
Nevada,2016,"2,940,058"," 	19,936 ",678.1 , 	224 ,7.6 ," 	1,733 ",58.9 ," 	6,340 ",215.6 ," 	11,639 ",395.9 ," 	76,047 ","2,586.6 "," 	18,850 ",641.1 ," 	44,017 ","1,497.1 "," 	13,180 ",448.3 
New Mexico,2016,"2,081,015"," 	14,619 ",702.5 , 	139 ,6.7 ," 	1,526 ",73.3 ," 	2,737 ",131.5 ," 	10,217 ",491.0 ," 	81,931 ","3,937.1 "," 	17,281 ",830.4 ," 	52,907 ","2,542.4 "," 	11,743 ",564.3 
Utah,2016,"3,051,217"," 	7,407 ",242.8 , 	72 ,2.4 ," 	1,520 ",49.8 ," 	1,541 ",50.5 ," 	4,274 ",140.1 ," 	90,058 ","2,951.5 "," 	12,836 ",420.7 ," 	67,834 ","2,223.2 "," 	9,388 ",307.7 
Wyoming,2016,"585,501"," 	1,430 ",244.2 , 	20 ,3.4 , 	205 ,35.0 , 	59 ,10.1 ," 	1,146 ",195.7 ," 	11,460 ","1,957.3 "," 	1,771 ",302.5 ," 	8,889 ","1,518.2 ", 	800 ,136.6 
Pacific,2016,"52,801,933"," 	218,032 ",412.9 ," 	2,325 ",4.4 ," 	20,172 ",38.2 ," 	64,562 ",122.3 ," 	130,973 ",248.0 ," 	1,445,697 ","2,738.0 "," 	264,420 ",500.8 ," 	950,331 ","1,799.8 "," 	230,946 ",437.4 
Alaska,2016,"741,894"," 	5,966 ",804.2 , 	52 ,7.0 ," 	1,053 ",141.9 , 	850 ,114.6 ," 	4,011 ",540.6 ," 	24,876 ","3,353.0 "," 	4,053 ",546.3 ," 	17,766 ","2,394.7 "," 	3,057 ",412.1 
California,2016,"39,250,017"," 	174,796 ",445.3 ," 	1,930 ",4.9 ," 	13,702 ",34.9 ," 	54,789 ",139.6 ," 	104,375 ",265.9 ," 	1,002,070 ","2,553.0 "," 	188,304 ",479.8 ," 	637,010 ","1,623.0 "," 	176,756 ",450.3 
Hawaii,2016,"1,428,557"," 	4,417 ",309.2 , 	35 ,2.5 , 	619 ,43.3 , 	994 ,69.6 ," 	2,769 ",193.8 ," 	42,753 ","2,992.7 "," 	6,017 ",421.2 ," 	31,082 ","2,175.8 "," 	5,654 ",395.8 
Oregon,2016,"4,093,465"," 	10,830 ",264.6 , 	113 ,2.8 ," 	1,721 ",42.0 ," 	2,278 ",55.6 ," 	6,718 ",164.1 ," 	121,345 ","2,964.4 "," 	16,866 ",412.0 ," 	91,286 ","2,230.0 "," 	13,193 ",322.3 
Washington,2016,"7,288,000"," 	22,023 ",302.2 , 	195 ,2.7 ," 	3,077 ",42.2 ," 	5,651 ",77.5 ," 	13,100 ",179.7 ," 	254,653 ","3,494.1 "," 	49,180 ",674.8 ," 	173,187 ","2,376.3 "," 	32,286 ",443.0 
Puerto Rico,2016,"3,411,307"," 	7,643 ",224.0 , 	679 ,19.9 , 	169 ,5.0 ," 	3,201 ",93.8 ," 	3,594 ",105.4 ," 	35,201 ","1,031.9 "," 	8,251 ",241.9 ," 	23,163 ",679.0 ," 	3,787 ",111.0 
United States total,2015,"320,896,618","1,234,183",384.6 ,"15,883",4.9 ,"126,134",39.3 ,"328,109",102.2 ,"764,057",238.1 ,"8,024,115","2,500.5 ","1,587,564",494.7 ,"5,723,488","1,783.6 ","713,063",222.2 
Northeast,2015,"56,184,737","180,474",321.2 ,"1,967",3.5 ,"16,415",29.2 ,"56,202",100.0 ,"105,890",188.5 ,"951,940","1,694.3 ","157,910",281.1 ,"737,087","1,311.9 ","56,943",101.3 
New England,2015,"14,710,229"," 	42,121 ",286.3 , 	326 ,2.2 ," 	4,602 ",31.3 ," 	9,629 ",65.5 ," 	27,564 ",187.4 ," 	257,073 ","1,747.6 "," 	46,260 ",314.5 ," 	193,051 ","1,312.4 "," 	17,762 ",120.7 
Connecticut,2015,"3,584,730"," 	7,938 ",221.4 , 	116 ,3.2 , 	798 ,22.3 ," 	2,925 ",81.6 ," 	4,099 ",114.3 ," 	65,610 ","1,830.3 "," 	10,286 ",286.9 ," 	48,898 ","1,364.1 "," 	6,426 ",179.3 
Maine,2015,"1,329,453"," 	1,726 ",129.8 , 	23 ,1.7 , 	461 ,34.7 , 	311 ,23.4 , 	931 ,70.0 ," 	24,361 ","1,832.4 "," 	4,694 ",353.1 ," 	18,853 ","1,418.1 ", 	814 ,61.2 
Massachusetts,2015,"6,784,240"," 	26,453 ",389.9 , 	131 ,1.9 ," 	2,082 ",30.7 ," 	5,266 ",77.6 ," 	18,974 ",279.7 ," 	114,547 ","1,688.4 "," 	21,826 ",321.7 ," 	84,676 ","1,248.1 "," 	8,045 ",118.6 
New Hampshire,2015,"1,330,111"," 	2,692 ",202.4 , 	15 ,1.1 , 	644 ,48.4 , 	475 ,35.7 ," 	1,558 ",117.1 ," 	23,453 ","1,763.2 "," 	3,482 ",261.8 ," 	19,076 ","1,434.2 ", 	895 ,67.3 
Rhode Island,2015,"1,055,607"," 	2,565 ",243.0 , 	31 ,2.9 , 	467 ,44.2 , 	547 ,51.8 ," 	1,520 ",144.0 ," 	20,038 ","1,898.2 "," 	3,938 ",373.1 ," 	14,714 ","1,393.9 "," 	1,386 ",131.3 
Vermont,2015,"626,088", 	747 ,119.3 , 	10 ,1.6 , 	150 ,24.0 , 	105 ,16.8 , 	482 ,77.0 ," 	9,064 ","1,447.7 "," 	2,034 ",324.9 ," 	6,834 ","1,091.5 ", 	196 ,31.3 
Middle Atlantic,2015,"41,474,508"," 	138,353 ",333.6 ," 	1,641 ",4.0 ," 	11,813 ",28.5 ," 	46,573 ",112.3 ," 	78,326 ",188.9 ," 	694,867 ","1,675.4 "," 	111,650 ",269.2 ," 	544,036 ","1,311.7 "," 	39,181 ",94.5 
New Jersey,2015,"8,935,421"," 	22,879 ",256.0 , 	363 ,4.1 ," 	1,373 ",15.4 ," 	9,729 ",108.9 ," 	11,414 ",127.7 ," 	145,701 ","1,630.6 "," 	27,960 ",312.9 ," 	105,963 ","1,185.9 "," 	11,778 ",131.8 
New York,2015,"19,747,183"," 	75,126 ",380.4 , 	613 ,3.1 ," 	6,141 ",31.1 ," 	23,879 ",120.9 ," 	44,493 ",225.3 ," 	317,225 ","1,606.4 "," 	44,117 ",223.4 ," 	257,837 ","1,305.7 "," 	15,271 ",77.3 
Pennsylvania,2015,"12,791,904"," 	40,348 ",315.4 , 	665 ,5.2 ," 	4,299 ",33.6 ," 	12,965 ",101.4 ," 	22,419 ",175.3 ," 	231,941 ","1,813.2 "," 	39,573 ",309.4 ," 	180,236 ","1,409.0 "," 	12,132 ",94.8 
Midwest,2015,"67,838,387"," 	242,893 ",358.0 ," 	3,422 ",5.0 ," 	30,827 ",45.4 ," 	62,201 ",91.7 ," 	146,443 ",215.9 ," 	1,555,516 ","2,293.0 "," 	307,853 ",453.8 ," 	1,125,935 ","1,659.7 "," 	121,728 ",179.4 
East North Central,2015,"46,742,511"," 	168,762 ",361.0 ," 	2,471 ",5.3 ," 	21,268 ",45.5 ," 	47,806 ",102.3 ," 	97,217 ",208.0 ," 	1,037,945 ","2,220.6 "," 	211,221 ",451.9 ," 	748,309 ","1,600.9 "," 	78,415 ",167.8 
Illinois,2015,"12,839,047"," 	49,755 ",387.5 , 	754 ,5.9 ," 	4,926 ",38.4 ," 	15,056 ",117.3 ," 	29,019 ",226.0 ," 	256,962 ","2,001.4 "," 	46,846 ",364.9 ," 	192,424 ","1,498.7 "," 	17,692 ",137.8 
Indiana,2015,"6,612,768"," 	25,373 ",383.7 , 	370 ,5.6 ," 	2,386 ",36.1 ," 	7,081 ",107.1 ," 	15,536 ",234.9 ," 	171,878 ","2,599.2 "," 	34,404 ",520.3 ," 	123,940 ","1,874.3 "," 	13,534 ",204.7 
Michigan,2015,"9,917,715"," 	41,712 ",420.6 , 	585 ,5.9 ," 	6,710 ",67.7 ," 	7,818 ",78.8 ," 	26,599 ",268.2 ," 	191,191 ","1,927.8 "," 	40,375 ",407.1 ," 	132,019 ","1,331.1 "," 	18,797 ",189.5 
Ohio,2015,"11,605,090"," 	34,373 ",296.2 , 	522 ,4.5 ," 	5,441 ",46.9 ," 	12,617 ",108.7 ," 	15,793 ",136.1 ," 	303,743 ","2,617.3 "," 	69,994 ",603.1 ," 	216,354 ","1,864.3 "," 	17,395 ",149.9 
Wisconsin,2015,"5,767,891"," 	17,549 ",304.3 , 	240 ,4.2 ," 	1,805 ",31.3 ," 	5,234 ",90.7 ," 	10,270 ",178.1 ," 	114,171 ","1,979.4 "," 	19,602 ",339.8 ," 	83,572 ","1,448.9 "," 	10,997 ",190.7 
West North Central,2015,"21,095,876"," 	74,131 ",351.4 , 	951 ,4.5 ," 	9,559 ",45.3 ," 	14,395 ",68.2 ," 	49,226 ",233.3 ," 	517,571 ","2,453.4 "," 	96,632 ",458.1 ," 	377,626 ","1,790.0 "," 	43,313 ",205.3 
Iowa,2015,"3,121,997"," 	8,619 ",276.1 , 	73 ,2.3 ," 	1,205 ",38.6 ," 	1,050 ",33.6 ," 	6,291 ",201.5 ," 	64,688 ","2,072.0 "," 	14,977 ",479.7 ," 	45,328 ","1,451.9 "," 	4,383 ",140.4 
Kansas,2015,"2,906,721"," 	11,483 ",395.0 , 	126 ,4.3 ," 	1,684 ",57.9 ," 	1,823 ",62.7 ," 	7,850 ",270.1 ," 	80,059 ","2,754.3 "," 	15,619 ",537.3 ," 	57,435 ","1,975.9 "," 	7,005 ",241.0 
Minnesota,2015,"5,482,435"," 	13,319 ",242.9 , 	133 ,2.4 ," 	2,321 ",42.3 ," 	3,771 ",68.8 ," 	7,094 ",129.4 ," 	121,984 ","2,225.0 "," 	19,299 ",352.0 ," 	94,704 ","1,727.4 "," 	7,981 ",145.6 
Missouri,2015,"6,076,204"," 	30,292 ",498.5 , 	503 ,8.3 ," 	2,573 ",42.3 ," 	6,383 ",105.0 ," 	20,833 ",342.9 ," 	173,788 ","2,860.1 "," 	34,029 ",560.0 ," 	122,749 ","2,020.2 "," 	17,010 ",279.9 
Nebraska,2015,"1,893,765"," 	5,167 ",272.8 , 	62 ,3.3 , 	885 ,46.7 , 	994 ,52.5 ," 	3,226 ",170.3 ," 	42,597 ","2,249.3 "," 	6,443 ",340.2 ," 	32,148 ","1,697.6 "," 	4,006 ",211.5 
North Dakota,2015,"756,835"," 	1,949 ",257.5 , 	21 ,2.8 , 	391 ,51.7 , 	159 ,21.0 ," 	1,378 ",182.1 ," 	17,716 ","2,340.8 "," 	3,296 ",435.5 ," 	12,686 ","1,676.2 "," 	1,734 ",229.1 
South Dakota,2015,"857,919"," 	3,302 ",384.9 , 	33 ,3.8 , 	500 ,58.3 , 	215 ,25.1 ," 	2,554 ",297.7 ," 	16,739 ","1,951.1 "," 	2,969 ",346.1 ," 	12,576 ","1,465.9 "," 	1,194 ",139.2 
South,2015,"121,039,206"," 	509,043 ",420.6 ," 	7,300 ",6.0 ," 	47,277 ",39.1 ," 	127,149 ",105.0 ," 	327,317 ",270.4 ," 	3,393,611 ","2,803.7 "," 	719,098 ",594.1 ," 	2,422,679 ","2,001.6 "," 	251,834 ",208.1 
South Atlantic,2015,"63,192,408"," 	256,283 ",405.6 ," 	3,824 ",6.1 ," 	21,620 ",34.2 ," 	66,792 ",105.7 ," 	164,047 ",259.6 ," 	1,721,061 ","2,723.5 "," 	352,328 ",557.5 ," 	1,246,078 ","1,971.9 "," 	122,655 ",194.1 
